MAZE_FILE_INDEX	BLOCK	TOUR_HAND	IS_COMPLETE	DELTA_T	N_ERRORS	EOL_RATING	JOL_RATING	RCJ_RATING	PLAYER_LIN_VEL	PLAYER_RAD_VEL	PLAYER_BODY_RADIUS	N_PRAC_TRIALS	N_BLOCKS	TOUR_LIN_VEL	TOUR_RAD_VEL	FRAME_RATE	PERSPEC_ANGLE	EYE_LEVEL	COORD_T_INTERVAL	COORD_MAX_T	N_ROWS	N_COLS	NOW_NUM	DATE
11	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
8	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
19	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
14	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
6	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
2	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
7	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
15	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
9	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
8	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.010405	10-Nov-2023 00:14:59
